locationId,locationDate,uvId,uvIndex
6,2024/3/28,10,10.38
6,2024/3/29,9,9.46
6,2024/3/30,9,9.57
6,2024/3/31,6,6.95
7,2024/3/1,9,9.63
7,2024/3/2,9,9.13
7,2024/3/3,9,9.33
7,2024/3/4,9,9.69
7,2024/3/5,9,9.24
7,2024/3/6,8,8.56
7,2024/3/7,8,8.4
7,2024/3/8,8,8.45
7,2024/3/9,8,8.7
7,2024/3/10,8,8.75
7,2024/3/11,9,9.22
7,2024/3/12,10,10.12
7,2024/3/13,6,6.78
7,2024/3/14,9,9.55
7,2024/3/15,8,8.45
7,2024/3/16,9,9.25
7,2024/3/17,7,7.66
7,2024/3/18,7,7.5
7,2024/3/19,9,9.95
7,2024/3/20,7,7.94
7,2024/3/21,7,7.38
7,2024/3/22,7,7.09
7,2024/3/23,7,7.04
7,2024/3/24,7,7.11
7,2024/3/25,6,6.98
7,2024/3/26,7,7.04
7,2024/3/27,7,7.23
7,2024/3/28,6,6.87
7,2024/3/29,7,7.06
7,2024/3/30,6,6.43
7,2024/3/31,6,6.24
